"id","blog","category","markdown","sg_id"
9193,"WN455","Mapping","In a [series of tweets](https://twitter.com/TylerBusby333/status/1114774487524941824), Tyler Busby updates progress on [using machine learning](https://github.com/typicalTYLER/SolarPanelDataWrangler/blob/master/README.md) to identify rooftop solar panels in Austin, Texas. The data are used to maintain a [MapRoulette challenge](https://maproulette.org/browse/challenges/4013) for adding the data to OSM.",7
9307,"WN457","Releases","[MapRoulette](https://maproulette.org/) is now at [version 3.3](https://www.openstreetmap.org/user/mvexel/diary/48234). The latest release adds a brand new review system. You can mark each task you solve as 'review wanted'. Mappers can volunteer to review other mappers' solved tasks within MapRoulette. Other new features include a new Portuguese localization and opt-in email notifications.",7
9962,"WN471","Releases","Martijn van Exel [wrote](https://www.openstreetmap.org/user/mvexel/diary/390353) a blog post about the new version of MapRoulette. Version 3.3.3 introduces virtual projects to organise challenges that belong together, improves the integration of Mapillary and adds the ability to tag a task with a MapRoulette-specific tag.",7
10007,"WN473","Mapping","A new MapRoulette challenge [invites](https://twitter.com/maproulette/status/1158755356786356224?s=19) you [to check](https://maproulette.org/challenge/2871) the untouched TIGER roads in the US state of Washington. The import was 12 years ago, and there are still more than 15,000 roads, in this state alone, which have never been checked.",7
10081,"WN474","Mapping","Are you looking for something to map? Here are some interesting challenges posted in MapRoulette:
- [Indonesia buildings crossing roads](https://maproulette.org/browse/challenges/4004)
- [Washington state, USA TIGER cleanup](https://maproulette.org/browse/challenges/2871)
- [Unmapped towns in South Africa](https://maproulette.org/browse/challenges/4196)",7
10190,"WN477","Mapping","Andrew, from Apple’s Maps team, [has uploaded](https://lists.openstreetmap.org/pipermail/talk-africa/2019-September/000386.html) potential road and routing related issues in Angola, Egypt, Kenya, Rwanda, South Africa, Tunisia and Uganda to MapRoulette.",7
10238,"WN478","Community","On Talk-AT there was a [discussion](https://lists.openstreetmap.org/pipermail/talk-at/2019-September/010247.html) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://lists.openstreetmap.org/pipermail/talk-at/2019-September/010247.html)) about a Golem article that discussed how Lyft [automatically tries](https://www.golem.de/news/kartendaten-lyft-verbessert-openstreetmap-im-vorbeifahren-1909-143759.html) to detect errors in OSM via algorithms (which we covered [last week](http://weeklyosm.eu/archives/12380#wn477_20860)). However, the article was not  completely clear, because there is only automatic recognition of the errors, rather than editing them. For corrections, MapRoulette challenges [are used](https://maproulette.org/browse/challenges/9063).",7
10262,"WN478","Mapping","Martijn Van Exel [invited us](https://twitter.com/maproulette/status/1172906602531188736), on Twitter, to view the [MapRoulette presentation](https://www.youtube.com/watch?v=Fi_ZSR4V8do) he gave at at SotM US.",7
10431,"WN482","Mapping","The MapRoulette team [tweeted](https://twitter.com/maproulette/status/1181935345236996101?s",7
10505,"WN484","Mapping","Andrew Wiseman of Apple [announces](https://lists.openstreetmap.org/pipermail/talk-bo/2019-October/000831.html) on [several](https://lists.openstreetmap.org/pipermail/talk-africa/2019-October/000402.html) mailing lists that they had [refreshed](https://github.com/osmlab/appledata/wiki/MapRoulette-Challenges) MapRoulette challenges with new data, and added more countries.",7
10538,"WN484","Mapping","Nuno Caldeira [writes](https://www.openstreetmap.org/user/NunoCaldeira/diary/391065) about how Portugal is validating parks with a MapRoulette mission to check for fake parks added by Pokémon GO players. It turns out that mis-translation and differences between Portuguese spoken in Brazil and Portugal have also contributed to mistagging of parks.",7
10613,"WN486","Mapping","Neena2309 [blogs](https://www.openstreetmap.org/user/Neena2309/diary/391157) about the MapRoulette challenge that aims to improve the OSM coverage of health facilities in India.",7
10816,"WN490","Mapping","MapRoulette 3.5 is [now available](https://www.openstreetmap.org/user/mvexel/diary/391500), with much improved task search using the map, and many other smaller improvements along with bug fixes. Check it out on maproulette.org!",7
10990,"WN494","Mapping","Andrew Harvey [has updated](https://lists.openstreetmap.org/pipermail/talk-au/2020-January/013397.html) the Australia-specific [tagging guidelines](https://wiki.openstreetmap.org/wiki/Australian_Tagging_Guidelines#Fire_Stations) on how to tag fire stations in New South Wales. He'd like to add or update the operator data for fire stations and has created a [MapRoulette challenge](https://maproulette.org/challenge/11820) for it.",7
11009,"WN495","Did you know that…","... the [current tasks](https://maproulette.org/browse/challenges) on maproulette.org? There you will surely find something in your area.",7
11026,"WN495","Mapping","Andrew Wiseman, from Apple, [announced](https://lists.openstreetmap.org/pipermail/talk-ht/2020-January/001555.html) a new [MapRoulette challenge](https://maproulette.org/browse/projects/39078) for issues with roads and routing in Haiti, which have been identified by the [Atlas](https://github.com/osmlab/atlas) data analysis tool.",7
11073,"WN496","Did you know that…","... MapRoulette is [calling](https://twitter.com/maproulette/status/1217211680943247361?s",7
11159,"WN498","Community","The Russian OSM community has checked that all Russian border crossings are in order. MapRoulette was [used](https://maproulette.org/browse/challenges/10109) as a tool for tasks.",7
11169,"WN498","Mapping","[Andrew Wiseman](http://hdyc.neis-one.org/?andrewwiseman), of Apple, [has put together](https://maproulette.org/browse/projects/39262) a [MapRoulette](https://maproulette.org/) challenge with the idea of adding missing roads associated with Pascal Neis's [unmapped places](http://resultmaps.neis-one.org/unmapped#2/23.7/3.5) in various countries. The [Unmapped Places Leaderboard](https://maproulette.org/project/39262/leaderboard) may be interesting for internal challenges with students ;-)",7
11192,"WN499","Mapping","Jinal Foflia [shared](https://twitter.com/fofliajinal/status/1225826387723816960) a MapRoulette [task](https://maproulette.org/challenge/12460/) to add street names in the regions around Jakarta, as well as a [task](https://maproulette.org/challenge/12525) to add missing sidewalks in Singapore to make the Singapore map more pedestrian-friendly.",7
11417,"WN503","Mapping","Martijn van Exel [introduced](https://map.bingo/2020/03/04/introducing-some-more-maproulette-quick-fix-challenges-lanes-drive-thrus/) a new type of MapRoulette Challenge, the Quick Fix. Unlike traditional MapRoulette Challenges, the new Quick Fix Challenges require no experience with OSM editing tools like JOSM or iD. MapRoulette asks you, the mapper, a question that just requires a simple yes/no answer.",7
11552,"WN506","Mapping","Chris Beddow of Mapillary has moved his webinar on mapping against COVID-19 from 2 April to 7 April at 18:00 CET. He will use tools ranging from Osmose to Pic4Review and MapRoulette to enrich OpenStreetMap. You can sign up for the webinar [here](https://mapagainstcovid19.confetti.events/).",7
11607,"WN508","Community","Mapillary's Edoardo Neerhut [blogged](https://blog.mapillary.com/update/2020/04/08/better-capacity-planning.html) about the importance of maps for capacity planning in the fight against COVID-19. He detailed the benefits of having better maps and pointed to MapRoulette tasks for adding data to hospitals in the US.",7
11826,"WN513","Mapping","NetWormKido [invites](https://forum.openstreetmap.org/viewtopic.php?id=69429) ![(ru)](https://blog.openstreetmap.de/wp-uploads/2016/12/ru.svg) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://forum.openstreetmap.org/viewtopic.php?id=69429)) everyone to join his initiative on drawing roads to villages in the Privolzhskiy Federal District of Russia, which are currently not connected in OSM to the rest of the world. [Task](https://maproulette.org/browse/challenges/13466) on MapRoulette.",7
11932,"WN515","Community","The Russian OSM community mapathon '[How to get to the village](https://forum.openstreetmap.org/viewtopic.php?id=69429)' ![(ru)](https://blog.openstreetmap.de/wp-uploads/2016/12/ru.svg) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://forum.openstreetmap.org/viewtopic.php?id=69429)) continues. The initiative is for contributors to draw roads to those villages that are currently not connected to the rest of the world in OSM. Now they are [mapping](https://maproulette.org/browse/challenges/13500) in the Southern Federal district (Russia). Previously, they finished work in the Privolzhskiy Federal district.",7
12222,"WN521","Did you know that…","... [MapRoulette](https://maproulette.org/browse/challenges?challengeSearch",7
12426,"WN525","Mapping","Martijn van Exel [writes](https://www.openstreetmap.org/user/mvexel/diary/393893) about 'MapRoulette News for August 2020'.",7
12704,"WN531","Mapping","Andrew Wiseman, from Apple, [has updated](https://lists.openstreetmap.org/pipermail/talk-bo/2020-September/000928.html) ![(es)](https://blog.openstreetmap.de/wp-uploads/2016/12/es.svg) > [![en](https://weeklyosm.eu/wp-content/uploads/sites/4/2020/09/en-green.svg)](https://translate.google.com/translate?sl=auto&tl=EN&u=https://lists.openstreetmap.org/pipermail/talk-bo/2020-September/000928.html) the challenges on MapRoulette for Bolivia using new data. The challenges can be found [here](https://maproulette.org/browse/projects/38986).",7
13001,"WN537","Community","The MapRoulette team [pointed out, on Twitter](https://twitter.com/maproulette/status/1323411621603991552), that a [MapRoulette user box](https://wiki.openstreetmap.org/wiki/Template:User_MapRoulette) can be added to OpenStreetMap wiki user profile pages.",7
13096,"WN540","Imports","Minh Nguyen [explained](https://lists.openstreetmap.org/pipermail/imports-us/2020-November/000993.html), on the Imports-US mailing list, that Code for San José volunteers want to import 14,000 shops via MapRoulette.",7
13208,"WN542","Mapping","[Minh Nguyen](https://www.openstreetmap.org/user/Minh%20Nguyen) is asking for [help adding businesses](https://www.openstreetmap.org/user/Minh%20Nguyen/diary/395029) in Silicon Valley. You can participate in the associated [MapRoulette](https://maproulette.org/browse/projects/42122) tasks, even if you do not live in the area.",7
13260,"WN544","Mapping","Wille Marcel [outlined](https://www.openstreetmap.org/user/wille/diary/395139) improvements recently made to [OSMCha](https://osmcha.org/). New features include filtering changesets based on metadata, visualisation of changesets with relations, and integration with the [MapRoulette micro-tasking service](https://blog.maproulette.org/2020/12/01/osmcha-%e2%9d%a4%ef%b8%8f-maproulette/).",7
13326,"WN545","Did you know that…","... that MapRoulette has its own [blog](https://blog.maproulette.org/)?",7
13468,"WN548","Mapping campaigns","Pascal Neis [pointed out](https://twitter.com/pascal_n/status/1349272005611290625?s=19) on Twitter that  '[unmapped places](https://resultmaps.neis-one.org/unmapped#3/44.72/19.16)' is now available worldwide. This [was](https://twitter.com/asturksever/status/1349056150797504513) prompted by a tweet by Said Turksever, who has [made](https://maproulette.org/browse/challenges/15901) the Turkish 'unmapped places' available for mapping in a MapRoulette task.",7
13632,"WN552","Mapping","Florian Lohoff [pointed to](https://forum.openstreetmap.org/viewtopic.php?id=71961) ![(de)](https://blog.openstreetmap.de/wp-uploads/2016/12/de.svg) > [![en](https://weeklyosm.eu/wp-content/uploads/sites/4/2020/09/en-green.svg)](https://translate.google.com/translate?sl=auto&tl=EN&u=https://forum.openstreetmap.org/viewtopic.php?id=71961), on the German Forum, a MapRoulette task which is resulting in airport features mapped as areas (runways, taxiways and aprons) being retagged from `aeroway` to `area:aeroway`. This has the effect of the element disappearing from many map renders.",7
13629,"WN552","Mapping campaigns","Said Turksever [tweeted](https://twitter.com/asturksever/status/1359453464930222082) about the completion of a MapRoulette campaign to ensure all the '[unmapped places](https://resultmaps.neis-one.org/unmapped)' in Turkey have their roads mapped (as we [reported](https://weeklyosm.eu/archives/14200#wn548_24183) earlier).",7
13991,"WN560","Mapping","The MapRoulette blog has a new [guest post](https://blog.maproulette.org/2021/03/31/guest-post-tracing-reservoirs-in-the-usa/) about mapping reservoirs in the United States, written by [Brian Spergolano](https://www.openstreetmap.org/user/ZeLonewolf). Many reservoirs in the US were imported years ago as nodes. This challenge asks mappers to add missing reservoirs as polygons, remove those that no longer exist, and generally help improve water mapping in the USA. The challenge is also featured at [MapRoulette](https://maproulette.org/browse/challenges).",7
